lead_id,lead_number,customer_id,salesperson_id,estimated_value,lead_date,lead_status,source,notes
LEAD-00000001,LEAD-00000001,CUST-00000903,SP-00000004,25000.0,2025-02-08,LOST,Email Campaign,
LEAD-00000002,LEAD-00000002,CUST-00000257,SP-00000013,25000.0,2024-07-13,CONVERTED,Website,
LEAD-00000003,LEAD-00000003,CUST-00000191,SP-00000007,2500.0,2024-11-06,QUALIFIED,Referral,
LEAD-00000004,LEAD-00000004,CUST-00000202,SP-00000020,2500.0,2025-03-18,QUALIFIED,Website,
LEAD-00000005,LEAD-00000005,CUST-00000947,SP-00000018,1000.0,2024-05-09,NEW,Referral,
LEAD-00000006,LEAD-00000006,CUST-00000386,SP-00000005,10000.0,2024-07-12,QUALIFIED,Cold Call,
LEAD-00000007,LEAD-00000007,CUST-00000320,SP-00000010,500.0,2024-04-03,QUALIFIED,Cold Call,
LEAD-00000008,LEAD-00000008,CUST-00000814,SP-00000016,5000.0,2025-04-09,CONTACTED,Email Campaign,
LEAD-00000009,LEAD-00000009,CUST-00000750,SP-00000019,2500.0,2023-11-02,QUALIFIED,Referral,
LEAD-00000010,LEAD-00000010,CUST-00000389,SP-00000017,50000.0,2023-07-06,QUALIFIED,Email Campaign,
LEAD-00000011,LEAD-00000011,CUST-00000944,SP-00000017,25000.0,2023-09-02,QUALIFIED,Referral,
LEAD-00000012,LEAD-00000012,CUST-00000171,SP-00000001,5000.0,2025-03-04,CONTACTED,Trade Show,
LEAD-00000013,LEAD-00000013,CUST-00000742,SP-00000017,50000.0,2023-09-05,CONTACTED,Trade Show,
LEAD-00000014,LEAD-00000014,CUST-00000974,SP-00000012,1000.0,2024-06-08,CONVERTED,Referral,
LEAD-00000015,LEAD-00000015,CUST-00000616,SP-00000003,25000.0,2024-01-03,CONVERTED,Trade Show,
LEAD-00000016,LEAD-00000016,CUST-00000330,SP-00000005,2500.0,2023-07-29,LOST,Referral,
LEAD-00000017,LEAD-00000017,CUST-00000053,SP-00000018,10000.0,2025-06-05,CONVERTED,Referral,
LEAD-00000018,LEAD-00000018,CUST-00000991,SP-00000016,50000.0,2024-08-23,NEW,Referral,
LEAD-00000019,LEAD-00000019,CUST-00000482,SP-00000017,5000.0,2023-08-27,LOST,Referral,
LEAD-00000020,LEAD-00000020,CUST-00000137,SP-00000004,50000.0,2025-04-20,CONTACTED,Email Campaign,
LEAD-00000021,LEAD-00000021,CUST-00000792,SP-00000007,25000.0,2024-08-17,CONTACTED,Referral,
LEAD-00000022,LEAD-00000022,CUST-00000724,SP-00000020,1000.0,2024-12-05,CONVERTED,Email Campaign,
LEAD-00000023,LEAD-00000023,CUST-00000753,SP-00000014,5000.0,2024-04-03,CONTACTED,Partner,
LEAD-00000024,LEAD-00000024,CUST-00000394,SP-00000001,2500.0,2024-11-27,QUALIFIED,Email Campaign,
LEAD-00000025,LEAD-00000025,CUST-00000534,SP-00000008,1000.0,2024-08-05,NEW,Email Campaign,
LEAD-00000026,LEAD-00000026,CUST-00000703,SP-00000004,5000.0,2024-05-20,NEW,Website,
LEAD-00000027,LEAD-00000027,CUST-00000705,SP-00000019,2500.0,2024-10-18,LOST,Website,
LEAD-00000028,LEAD-00000028,CUST-00000548,SP-00000017,10000.0,2023-07-14,QUALIFIED,Cold Call,
LEAD-00000029,LEAD-00000029,CUST-00000690,SP-00000020,25000.0,2025-06-05,CONTACTED,Referral,
LEAD-00000030,LEAD-00000030,CUST-00000087,SP-00000019,500.0,2024-04-08,NEW,Cold Call,
LEAD-00000031,LEAD-00000031,CUST-00000459,SP-00000007,50000.0,2023-07-16,CONTACTED,Cold Call,
LEAD-00000032,LEAD-00000032,CUST-00000820,SP-00000018,25000.0,2024-08-02,QUALIFIED,Email Campaign,
LEAD-00000033,LEAD-00000033,CUST-00000999,SP-00000013,2500.0,2024-08-02,CONVERTED,Website,
LEAD-00000034,LEAD-00000034,CUST-00000920,SP-00000015,10000.0,2025-06-06,CONVERTED,Referral,
LEAD-00000035,LEAD-00000035,CUST-00000463,SP-00000015,50000.0,2025-03-07,CONTACTED,Website,
LEAD-00000036,LEAD-00000036,CUST-00000483,SP-00000014,2500.0,2024-05-23,LOST,Email Campaign,
LEAD-00000037,LEAD-00000037,CUST-00000566,SP-00000017,1000.0,2024-02-11,CONVERTED,Website,
LEAD-00000038,LEAD-00000038,CUST-00000420,SP-00000005,5000.0,2023-08-05,CONTACTED,Website,
LEAD-00000039,LEAD-00000039,CUST-00000292,SP-00000004,10000.0,2024-07-06,CONTACTED,Referral,
LEAD-00000040,LEAD-00000040,CUST-00000244,SP-00000008,1000.0,2024-12-26,CONVERTED,Partner,
LEAD-00000041,LEAD-00000041,CUST-00000243,SP-00000004,5000.0,2024-11-22,NEW,Website,
LEAD-00000042,LEAD-00000042,CUST-00000036,SP-00000008,5000.0,2023-11-21,LOST,Partner,
LEAD-00000043,LEAD-00000043,CUST-00000315,SP-00000016,50000.0,2023-08-30,QUALIFIED,Email Campaign,
LEAD-00000044,LEAD-00000044,CUST-00000679,SP-00000009,500.0,2025-03-18,LOST,Website,
LEAD-00000045,LEAD-00000045,CUST-00000201,SP-00000002,5000.0,2024-04-30,CONTACTED,Referral,
LEAD-00000046,LEAD-00000046,CUST-00000961,SP-00000020,500.0,2025-04-11,NEW,Trade Show,
LEAD-00000047,LEAD-00000047,CUST-00000629,SP-00000006,25000.0,2023-07-21,LOST,Cold Call,
LEAD-00000048,LEAD-00000048,CUST-00000663,SP-00000002,50000.0,2025-01-17,NEW,Partner,
LEAD-00000049,LEAD-00000049,CUST-00000135,SP-00000005,5000.0,2024-03-04,CONVERTED,Website,
LEAD-00000050,LEAD-00000050,CUST-00000963,SP-00000007,500.0,2024-11-20,QUALIFIED,Referral,
LEAD-00000051,LEAD-00000051,CUST-00000642,SP-00000016,500.0,2025-04-18,CONTACTED,Trade Show,
LEAD-00000052,LEAD-00000052,CUST-00000152,SP-00000020,2500.0,2024-08-16,NEW,Partner,
LEAD-00000053,LEAD-00000053,CUST-00000937,SP-00000012,25000.0,2024-11-12,QUALIFIED,Email Campaign,
LEAD-00000054,LEAD-00000054,CUST-00000680,SP-00000004,50000.0,2025-06-11,NEW,Referral,
LEAD-00000055,LEAD-00000055,CUST-00000801,SP-00000004,25000.0,2024-09-04,LOST,Referral,
LEAD-00000056,LEAD-00000056,CUST-00000053,SP-00000018,25000.0,2025-03-18,QUALIFIED,Partner,
LEAD-00000057,LEAD-00000057,CUST-00000773,SP-00000012,5000.0,2024-03-03,CONVERTED,Website,
LEAD-00000058,LEAD-00000058,CUST-00000090,SP-00000010,500.0,2023-12-22,QUALIFIED,Trade Show,
LEAD-00000059,LEAD-00000059,CUST-00000215,SP-00000002,10000.0,2023-07-16,CONVERTED,Website,
LEAD-00000060,LEAD-00000060,CUST-00000165,SP-00000015,50000.0,2024-08-26,NEW,Cold Call,
LEAD-00000061,LEAD-00000061,CUST-00000559,SP-00000004,1000.0,2025-06-07,LOST,Email Campaign,
LEAD-00000062,LEAD-00000062,CUST-00000256,SP-00000008,1000.0,2024-02-10,CONTACTED,Trade Show,
LEAD-00000063,LEAD-00000063,CUST-00000263,SP-00000005,25000.0,2023-11-27,CONVERTED,Referral,
LEAD-00000064,LEAD-00000064,CUST-00000686,SP-00000003,25000.0,2024-10-31,QUALIFIED,Email Campaign,
LEAD-00000065,LEAD-00000065,CUST-00000113,SP-00000013,1000.0,2023-10-23,QUALIFIED,Referral,
LEAD-00000066,LEAD-00000066,CUST-00000487,SP-00000014,2500.0,2025-04-28,CONTACTED,Cold Call,
LEAD-00000067,LEAD-00000067,CUST-00000852,SP-00000001,5000.0,2024-09-07,NEW,Partner,
LEAD-00000068,LEAD-00000068,CUST-00000261,SP-00000004,5000.0,2024-02-09,CONVERTED,Website,
