invoice_id,invoice_number,so_id,invoice_date,due_date,total_amount,amount_paid,status,payment_terms_days
INV-00000001,INV-00000001,SO-00000001,2025-05-01,2025-05-31,2119.15,0.0,OVERDUE,30
INV-00000002,INV-00000002,SO-00000002,2025-03-23,2025-05-07,261.18,102.17,PARTIAL,45
INV-00000003,INV-00000003,SO-00000003,2024-08-05,2024-08-20,73.75,73.75,PAID,15
INV-00000004,INV-00000004,SO-00000004,2025-06-18,2025-07-18,25.29,25.29,PAID,30
INV-00000005,INV-00000005,SO-00000005,2023-10-17,2023-12-01,202.96,202.96,PAID,45
INV-00000006,INV-00000006,SO-00000006,2023-12-23,2024-02-21,2491.35,1395.29,PARTIAL,60
INV-00000007,INV-00000007,SO-00000007,2023-10-18,2023-12-17,81.8,0.0,OPEN,60
INV-00000008,INV-00000008,SO-00000008,2024-10-15,2024-10-30,8787.78,8787.78,PAID,15
INV-00000009,INV-00000009,SO-00000009,2024-07-31,2024-09-29,948.19,948.19,PAID,60
INV-00000010,INV-00000010,SO-00000010,2024-10-15,2024-10-30,111.14,111.14,PAID,15
INV-00000011,INV-00000011,SO-00000011,2023-08-20,2023-10-19,220.8,220.8,PAID,60
INV-00000012,INV-00000012,SO-00000013,2023-12-22,2024-02-05,64.66,0.0,OPEN,45
INV-00000013,INV-00000013,SO-00000016,2024-06-19,2024-08-03,191.5,0.0,OPEN,45
INV-00000014,INV-00000014,SO-00000017,2025-04-30,2025-05-15,268.8,127.45,PARTIAL,15
INV-00000015,INV-00000015,SO-00000018,2025-06-24,2025-07-24,95.56,95.56,PAID,30
INV-00000016,INV-00000016,SO-00000019,2025-06-07,2025-06-22,27.39,27.39,PAID,15
INV-00000017,INV-00000017,SO-00000020,2023-10-02,2023-12-01,451.7,143.23,PARTIAL,60
INV-00000018,INV-00000018,SO-00000021,2024-07-16,2024-08-15,1226.58,1226.58,PAID,30
INV-00000019,INV-00000019,SO-00000022,2024-12-13,2025-01-12,1553.61,572.75,PARTIAL,30
