so_id,so_number,customer_id,product_id,quantity,unit_price,total_amount,order_date,expected_delivery_date,actual_delivery_date,status,salesperson_id,warehouse_id,so_type,notes
SO-00000001,SO-00000001,CUST-00000044,PRD-00000407,25,84.77,2119.15,2025-04-30,2025-05-13,,CONFIRMED,SP-00000005,WH-003,STANDARD,
SO-00000002,SO-00000002,CUST-00000451,PRD-00000223,2,130.59,261.18,2025-03-22,2025-03-30,,PROCESSING,SP-00000003,WH-003,STANDARD,
SO-00000003,SO-00000003,CUST-00000851,PRD-00000416,25,2.95,73.75,2024-08-04,2024-08-07,,CONFIRMED,SP-00000007,WH-003,STANDARD,
SO-00000004,SO-00000004,CUST-00000592,PRD-00000083,1,25.29,25.29,2025-06-15,2025-06-26,,CONFIRMED,SP-00000004,WH-001,STANDARD,
SO-00000005,SO-00000005,CUST-00000795,PRD-00000181,2,101.48,202.96,2023-10-16,2023-10-22,,PROCESSING,SP-00000010,WH-002,STANDARD,
SO-00000006,SO-00000006,CUST-00000949,PRD-00000391,15,166.09,2491.35,2023-12-22,2024-01-05,,DELIVERED,SP-00000011,WH-001,STANDARD,
SO-00000007,SO-00000007,CUST-00000263,PRD-00000282,10,8.18,81.8,2023-10-16,2023-10-25,,DELIVERED,SP-00000015,WH-001,STANDARD,
SO-00000008,SO-00000008,CUST-00000875,PRD-00000104,25,351.51,8787.78,2024-10-13,2024-10-18,,PROCESSING,SP-00000008,WH-002,STANDARD,
SO-00000009,SO-00000009,CUST-00000664,PRD-00000036,25,37.93,948.19,2024-07-30,2024-08-04,,PROCESSING,SP-00000016,WH-002,STANDARD,
SO-00000010,SO-00000010,CUST-00000492,PRD-00000444,2,55.57,111.14,2024-10-14,2024-10-21,,DELIVERED,SP-00000018,WH-002,STANDARD,
SO-00000011,SO-00000011,CUST-00000525,PRD-00000075,5,44.16,220.8,2023-08-17,2023-08-31,,DELIVERED,SP-00000001,WH-001,STANDARD,
SO-00000012,SO-00000012,CUST-00000104,PRD-00000043,5,24.79,123.95,2023-12-02,2023-12-11,,CANCELLED,SP-00000002,WH-003,STANDARD,
SO-00000013,SO-00000013,CUST-00000889,PRD-00000449,2,32.33,64.66,2023-12-21,2023-12-30,,PROCESSING,SP-00000020,WH-003,STANDARD,
SO-00000014,SO-00000014,CUST-00000808,PRD-00000354,10,37.88,378.8,2025-05-30,2025-06-13,,CANCELLED,SP-00000004,WH-001,STANDARD,
SO-00000015,SO-00000015,CUST-00000214,PRD-00000456,15,2.5,37.47,2024-06-05,2024-06-14,,CANCELLED,SP-00000019,WH-003,STANDARD,
SO-00000016,SO-00000016,CUST-00000724,PRD-00000020,25,7.66,191.5,2024-06-17,2024-07-01,,PROCESSING,SP-00000001,WH-001,STANDARD,
SO-00000017,SO-00000017,CUST-00000275,PRD-00000129,10,26.88,268.8,2025-04-29,2025-05-12,,CONFIRMED,SP-00000005,WH-003,STANDARD,
SO-00000018,SO-00000018,CUST-00000697,PRD-00000408,5,19.11,95.56,2025-06-21,2025-07-01,,PROCESSING,SP-00000017,WH-003,STANDARD,
SO-00000019,SO-00000019,CUST-00000045,PRD-00000212,5,5.48,27.39,2025-06-06,2025-06-11,,CONFIRMED,SP-00000013,WH-001,STANDARD,
SO-00000020,SO-00000020,CUST-00000664,PRD-00000156,10,45.17,451.7,2023-09-30,2023-10-03,,PROCESSING,SP-00000016,WH-003,STANDARD,
SO-00000021,SO-00000021,CUST-00000884,PRD-00000399,50,24.53,1226.58,2024-07-13,2024-07-20,,CONFIRMED,SP-00000004,WH-001,STANDARD,
SO-00000022,SO-00000022,CUST-00000994,PRD-00000037,50,31.07,1553.61,2024-12-11,2024-12-24,,CONFIRMED,SP-00000011,WH-003,STANDARD,
SO-00000023,SO-00000023,CUST-00000031,PRD-00000410,5,45.46,227.3,2025-01-08,2025-01-14,,SHIPPED,SP-00000006,WH-001,STANDARD,
SO-00000024,SO-00000024,CUST-00000467,PRD-00000075,10,44.16,441.6,2025-06-24,2025-07-06,,SHIPPED,SP-00000020,WH-001,STANDARD,
SO-00000025,SO-00000025,CUST-00000672,PRD-00000029,1,198.75,198.75,2023-12-13,2023-12-20,,CONFIRMED,SP-00000006,WH-001,STANDARD,
SO-00000026,SO-00000026,CUST-00000702,PRD-00000069,2,185.2,370.4,2024-10-05,2024-10-16,,CANCELLED,SP-00000004,WH-003,STANDARD,
SO-00000027,SO-00000027,CUST-00000330,PRD-00000331,5,7.34,36.7,2023-12-27,2023-12-30,,SHIPPED,SP-00000010,WH-002,STANDARD,
SO-00000028,SO-00000028,CUST-00000635,PRD-00000130,25,38.39,959.7,2023-07-22,2023-07-29,,DELIVERED,SP-00000010,WH-003,STANDARD,
SO-00000029,SO-00000029,CUST-00000963,PRD-00000218,5,17.5,87.48,2024-07-12,2024-07-17,,DELIVERED,SP-00000001,WH-002,STANDARD,
SO-00000030,SO-00000030,CUST-00000580,PRD-00000020,25,7.66,191.5,2024-01-16,2024-01-23,,DELIVERED,SP-00000005,WH-003,STANDARD,
SO-00000031,SO-00000031,CUST-00000080,PRD-00000056,10,2.49,24.89,2024-03-22,2024-03-30,,CONFIRMED,SP-00000001,WH-001,STANDARD,
SO-00000032,SO-00000032,CUST-00000369,PRD-00000055,2,27.28,54.56,2024-10-28,2024-11-04,,SHIPPED,SP-00000008,WH-003,STANDARD,
SO-00000033,SO-00000033,CUST-00000813,PRD-00000489,15,28.36,425.44,2024-01-06,2024-01-15,,CONFIRMED,SP-00000014,WH-002,STANDARD,
SO-00000034,SO-00000034,CUST-00000071,PRD-00000088,20,21.11,422.2,2024-12-20,2024-12-26,,PROCESSING,SP-00000020,WH-002,STANDARD,
SO-00000035,SO-00000035,CUST-00000636,PRD-00000049,20,30.97,619.4,2025-04-15,2025-04-25,,CONFIRMED,SP-00000005,WH-002,STANDARD,
SO-00000036,SO-00000036,CUST-00000780,PRD-00000194,5,38.81,194.05,2023-12-29,2024-01-03,,PROCESSING,SP-00000020,WH-002,STANDARD,
