profitability_id,so_id,product_id,quantity_sold,revenue,cost_of_goods_sold,gross_profit,gross_margin_pct,calculation_date
1,SO-00000006,PRD-00000391,15,2491.35,1369.35,1122.0,45.04,2023-12-22
2,SO-00000007,PRD-00000282,10,81.8,55.300000000000004,26.499999999999993,32.4,2023-10-16
3,SO-00000010,PRD-00000444,2,111.14,64.94,46.2,41.57,2024-10-14
4,SO-00000011,PRD-00000075,5,220.8,132.85,87.95000000000002,39.83,2023-08-17
5,SO-00000023,PRD-00000410,5,227.3,116.8,110.50000000000001,48.61,2025-01-08
6,SO-00000024,PRD-00000075,10,441.6,265.7,175.90000000000003,39.83,2025-06-24
7,SO-00000027,PRD-00000331,5,36.7,19.15,17.550000000000004,47.82,2023-12-27
8,SO-00000028,PRD-00000130,25,959.7,625.25,334.45000000000005,34.85,2023-07-22
9,SO-00000029,PRD-00000218,5,87.48,65.95,21.53,24.61,2024-07-12
10,SO-00000030,PRD-00000020,25,191.5,128.0,63.5,33.16,2024-01-16
11,SO-00000032,PRD-00000055,2,54.56,30.92,23.64,43.33,2024-10-28
12,SO-00000037,PRD-00000124,20,944.47,670.4000000000001,274.06999999999994,29.02,2025-02-10
13,SO-00000038,PRD-00000169,50,1347.5,927.0,420.5,31.21,2025-04-06
14,SO-00000039,PRD-00000211,20,151.4,77.0,74.4,49.14,2024-12-19
15,SO-00000044,PRD-00000361,20,233.29,139.2,94.09,40.33,2025-04-16
16,SO-00000058,PRD-00000305,10,2124.3,1446.3999999999999,677.9000000000003,31.91,2025-06-07
17,SO-00000060,PRD-00000100,2,18.46,12.46,6.0,32.5,2023-11-05
18,SO-00000063,PRD-00000200,5,38.7,25.4,13.300000000000004,34.37,2024-05-16
19,SO-00000068,PRD-00000427,5,444.3,233.0,211.3,47.56,2024-11-18
20,SO-00000070,PRD-00000130,15,631.5,375.15000000000003,256.34999999999997,40.59,2024-04-26
21,SO-00000072,PRD-00000026,5,218.7,135.39,83.31,38.09,2024-11-25
22,SO-00000073,PRD-00000259,20,992.8,593.0,399.79999999999995,40.27,2024-12-08
23,SO-00000075,PRD-00000082,15,120.75,77.85000000000001,42.89999999999999,35.53,2023-09-30
24,SO-00000077,PRD-00000173,20,87.94,58.8,29.14,33.14,2025-04-14
25,SO-00000079,PRD-00000080,5,43.7,25.049999999999997,18.650000000000006,42.68,2024-07-17
26,SO-00000080,PRD-00000352,5,354.15,234.0,120.14999999999998,33.93,2025-02-10
27,SO-00000081,PRD-00000485,15,1347.3,814.35,532.9499999999999,39.56,2025-05-08
28,SO-00000089,PRD-00000060,50,401.5,201.5,200.0,49.81,2023-12-18
29,SO-00000091,PRD-00000212,15,91.35,57.75,33.599999999999994,36.78,2024-11-06
