date_id,full_date,day_of_week,day_name,day_of_month,day_of_year,week_of_year,month,month_name,quarter,year,is_weekend,is_holiday,fiscal_year,fiscal_quarter
20230701,2023-07-01,5,Saturday,1,182,26,7,July,3,2023,1,0,2023,1
20230702,2023-07-02,6,Sunday,2,183,26,7,July,3,2023,1,0,2023,1
20230703,2023-07-03,0,Monday,3,184,27,7,July,3,2023,0,0,2023,1
20230704,2023-07-04,1,Tuesday,4,185,27,7,July,3,2023,0,0,2023,1
20230705,2023-07-05,2,Wednesday,5,186,27,7,July,3,2023,0,0,2023,1
20230706,2023-07-06,3,Thursday,6,187,27,7,July,3,2023,0,0,2023,1
20230707,2023-07-07,4,Friday,7,188,27,7,July,3,2023,0,0,2023,1
20230708,2023-07-08,5,Saturday,8,189,27,7,July,3,2023,1,0,2023,1
20230709,2023-07-09,6,Sunday,9,190,27,7,July,3,2023,1,0,2023,1
20230710,2023-07-10,0,Monday,10,191,28,7,July,3,2023,0,0,2023,1
20230711,2023-07-11,1,Tuesday,11,192,28,7,July,3,2023,0,0,2023,1
20230712,2023-07-12,2,Wednesday,12,193,28,7,July,3,2023,0,0,2023,1
20230713,2023-07-13,3,Thursday,13,194,28,7,July,3,2023,0,0,2023,1
20230714,2023-07-14,4,Friday,14,195,28,7,July,3,2023,0,0,2023,1
20230715,2023-07-15,5,Saturday,15,196,28,7,July,3,2023,1,0,2023,1
20230716,2023-07-16,6,Sunday,16,197,28,7,July,3,2023,1,0,2023,1
20230717,2023-07-17,0,Monday,17,198,29,7,July,3,2023,0,0,2023,1
20230718,2023-07-18,1,Tuesday,18,199,29,7,July,3,2023,0,0,2023,1
20230719,2023-07-19,2,Wednesday,19,200,29,7,July,3,2023,0,0,2023,1
20230720,2023-07-20,3,Thursday,20,201,29,7,July,3,2023,0,0,2023,1
20230721,2023-07-21,4,Friday,21,202,29,7,July,3,2023,0,0,2023,1
20230722,2023-07-22,5,Saturday,22,203,29,7,July,3,2023,1,0,2023,1
20230723,2023-07-23,6,Sunday,23,204,29,7,July,3,2023,1,0,2023,1
20230724,2023-07-24,0,Monday,24,205,30,7,July,3,2023,0,0,2023,1
20230725,2023-07-25,1,Tuesday,25,206,30,7,July,3,2023,0,0,2023,1
20230726,2023-07-26,2,Wednesday,26,207,30,7,July,3,2023,0,0,2023,1
20230727,2023-07-27,3,Thursday,27,208,30,7,July,3,2023,0,0,2023,1
20230728,2023-07-28,4,Friday,28,209,30,7,July,3,2023,0,0,2023,1
20230729,2023-07-29,5,Saturday,29,210,30,7,July,3,2023,1,0,2023,1
20230730,2023-07-30,6,Sunday,30,211,30,7,July,3,2023,1,0,2023,1
20230731,2023-07-31,0,Monday,31,212,31,7,July,3,2023,0,0,2023,1
20230801,2023-08-01,1,Tuesday,1,213,31,8,August,3,2023,0,0,2023,1
20230802,2023-08-02,2,Wednesday,2,214,31,8,August,3,2023,0,0,2023,1
20230803,2023-08-03,3,Thursday,3,215,31,8,August,3,2023,0,0,2023,1
20230804,2023-08-04,4,Friday,4,216,31,8,August,3,2023,0,0,2023,1
20230805,2023-08-05,5,Saturday,5,217,31,8,August,3,2023,1,0,2023,1
20230806,2023-08-06,6,Sunday,6,218,31,8,August,3,2023,1,0,2023,1
20230807,2023-08-07,0,Monday,7,219,32,8,August,3,2023,0,0,2023,1
20230808,2023-08-08,1,Tuesday,8,220,32,8,August,3,2023,0,0,2023,1
20230809,2023-08-09,2,Wednesday,9,221,32,8,August,3,2023,0,0,2023,1
20230810,2023-08-10,3,Thursday,10,222,32,8,August,3,2023,0,0,2023,1
20230811,2023-08-11,4,Friday,11,223,32,8,August,3,2023,0,0,2023,1
20230812,2023-08-12,5,Saturday,12,224,32,8,August,3,2023,1,0,2023,1
20230813,2023-08-13,6,Sunday,13,225,32,8,August,3,2023,1,0,2023,1
20230814,2023-08-14,0,Monday,14,226,33,8,August,3,2023,0,0,2023,1
20230815,2023-08-15,1,Tuesday,15,227,33,8,August,3,2023,0,0,2023,1
20230816,2023-08-16,2,Wednesday,16,228,33,8,August,3,2023,0,0,2023,1
20230817,2023-08-17,3,Thursday,17,229,33,8,August,3,2023,0,0,2023,1
20230818,2023-08-18,4,Friday,18,230,33,8,August,3,2023,0,0,2023,1
20230819,2023-08-19,5,Saturday,19,231,33,8,August,3,2023,1,0,2023,1
20230820,2023-08-20,6,Sunday,20,232,33,8,August,3,2023,1,0,2023,1
20230821,2023-08-21,0,Monday,21,233,34,8,August,3,2023,0,0,2023,1
20230822,2023-08-22,1,Tuesday,22,234,34,8,August,3,2023,0,0,2023,1
20230823,2023-08-23,2,Wednesday,23,235,34,8,August,3,2023,0,0,2023,1
20230824,2023-08-24,3,Thursday,24,236,34,8,August,3,2023,0,0,2023,1
20230825,2023-08-25,4,Friday,25,237,34,8,August,3,2023,0,0,2023,1
20230826,2023-08-26,5,Saturday,26,238,34,8,August,3,2023,1,0,2023,1
20230827,2023-08-27,6,Sunday,27,239,34,8,August,3,2023,1,0,2023,1
20230828,2023-08-28,0,Monday,28,240,35,8,August,3,2023,0,0,2023,1
20230829,2023-08-29,1,Tuesday,29,241,35,8,August,3,2023,0,0,2023,1
