payment_id,payment_number,invoice_id,payment_date,amount_paid,payment_method,reference_number,notes
PAY-00000001,PAY-00000001,INV-00000001,2025-05-27,2119.15,Check,REF-108609,
PAY-00000002,PAY-00000002,INV-00000002,2025-04-28,261.18,Check,REF-156698,
PAY-00000003,PAY-00000003,INV-00000003,2024-08-20,73.75,Credit Card,REF-905771,
PAY-00000004,PAY-00000004,INV-00000004,2025-08-13,25.29,Wire Transfer,REF-273512,
PAY-00000005,PAY-00000005,INV-00000005,2023-11-25,202.96,Wire Transfer,REF-934700,
PAY-00000006,PAY-00000006,INV-00000006,2024-02-11,2491.35,Wire Transfer,REF-328501,
PAY-00000007,PAY-00000007,INV-00000008,2024-10-30,8787.78,Wire Transfer,REF-660776,
PAY-00000008,PAY-00000008,INV-00000009,2024-09-27,948.19,Cash,REF-769189,
PAY-00000009,PAY-00000009,INV-00000010,2024-11-23,111.14,Cash,REF-160744,
PAY-00000010,PAY-00000010,INV-00000011,2023-10-12,220.8,Cash,REF-151481,
PAY-00000011,PAY-00000011,INV-00000014,2025-05-11,268.8,Check,REF-213758,
PAY-00000012,PAY-00000012,INV-00000015,2025-07-20,73.08,ACH,REF-624501,
PAY-00000013,PAY-00000013,INV-00000016,2025-06-15,27.39,Check,REF-885472,
PAY-00000014,PAY-00000014,INV-00000017,2023-11-23,451.7,ACH,REF-110017,
PAY-00000015,PAY-00000015,INV-00000018,2024-08-30,1226.58,Wire Transfer,REF-861390,
PAY-00000016,PAY-00000016,INV-00000019,2025-01-12,1553.61,Check,REF-821983,
PAY-00000017,PAY-00000017,INV-00000020,2025-03-13,227.3,Wire Transfer,REF-678287,
PAY-00000018,PAY-00000018,INV-00000021,2025-08-18,441.6,Credit Card,REF-297892,
PAY-00000019,PAY-00000019,INV-00000022,2024-01-23,198.75,Cash,REF-393333,
PAY-00000020,PAY-00000020,INV-00000023,2024-03-09,36.7,Cash,REF-985946,
PAY-00000021,PAY-00000021,INV-00000024,2023-09-13,959.7,Check,REF-120284,
PAY-00000022,PAY-00000022,INV-00000025,2024-09-05,87.48,Check,REF-341009,
PAY-00000023,PAY-00000023,INV-00000027,2024-05-17,24.89,Check,REF-719577,
PAY-00000024,PAY-00000024,INV-00000029,2024-03-03,314.15,Wire Transfer,REF-424189,
PAY-00000025,PAY-00000025,INV-00000030,2025-01-06,422.2,Check,REF-387843,
PAY-00000026,PAY-00000026,INV-00000031,2025-06-13,619.4,Check,REF-219618,
PAY-00000027,PAY-00000027,INV-00000032,2024-02-13,194.05,ACH,REF-563399,
PAY-00000028,PAY-00000028,INV-00000033,2025-03-24,944.47,Wire Transfer,REF-552032,
PAY-00000029,PAY-00000029,INV-00000034,2025-06-05,1347.5,ACH,REF-681837,
PAY-00000030,PAY-00000030,INV-00000035,2025-01-12,151.4,Cash,REF-562320,
