receipt_id,receipt_number,po_id,receipt_date,quantity_received,warehouse_id,quality_check_passed,notes
GR-00000001,GR-00000001,PO-00000001,2025-05-22,200,WH-003,1,
GR-00000002,GR-00000002,PO-00000003,2023-09-05,150,WH-002,1,
GR-00000003,GR-00000003,PO-00000004,2024-11-15,150,WH-002,1,
GR-00000004,GR-00000004,PO-00000005,2023-08-02,20,WH-001,0,
GR-00000005,GR-00000005,PO-00000006,2024-10-04,150,WH-003,1,
GR-00000006,GR-00000006,PO-00000009,2023-11-17,4,WH-001,1,
GR-00000007,GR-00000007,PO-00000009,2023-11-17,6,WH-002,1,
GR-00000008,GR-00000008,PO-00000010,2025-04-10,150,WH-002,1,
GR-00000009,GR-00000009,PO-00000011,2023-10-07,42,WH-003,1,
GR-00000010,GR-00000010,PO-00000011,2023-10-12,108,WH-002,1,
GR-00000011,GR-00000011,PO-00000012,2024-02-22,50,WH-001,1,
GR-00000012,GR-00000012,PO-00000013,2024-10-21,50,WH-002,1,
GR-00000013,GR-00000013,PO-00000014,2024-10-26,25,WH-002,1,
GR-00000014,GR-00000014,PO-00000015,2024-08-13,18,WH-002,1,
GR-00000015,GR-00000015,PO-00000015,2024-08-13,32,WH-003,1,
GR-00000016,GR-00000016,PO-00000016,2024-12-24,71,WH-002,1,
GR-00000017,GR-00000017,PO-00000016,2024-12-25,3,WH-003,1,
GR-00000018,GR-00000018,PO-00000016,2024-12-24,76,WH-001,1,
GR-00000019,GR-00000019,PO-00000017,2025-04-06,31,WH-001,1,
GR-00000020,GR-00000020,PO-00000017,2025-04-07,1,WH-003,1,
GR-00000021,GR-00000021,PO-00000017,2025-04-07,118,WH-001,1,
GR-00000022,GR-00000022,PO-00000018,2024-06-17,5,WH-003,1,
GR-00000023,GR-00000023,PO-00000018,2024-06-23,5,WH-001,1,
GR-00000024,GR-00000024,PO-00000019,2025-05-20,20,WH-003,1,
GR-00000025,GR-00000025,PO-00000020,2024-11-14,29,WH-001,0,
GR-00000026,GR-00000026,PO-00000020,2024-11-13,46,WH-001,1,
GR-00000027,GR-00000027,PO-00000021,2025-05-26,42,WH-003,1,
GR-00000028,GR-00000028,PO-00000021,2025-05-31,58,WH-002,1,
GR-00000029,GR-00000029,PO-00000022,2025-06-27,150,WH-002,1,
GR-00000030,GR-00000030,PO-00000023,2023-10-27,9,WH-001,1,
GR-00000031,GR-00000031,PO-00000023,2023-10-24,41,WH-001,1,
GR-00000032,GR-00000032,PO-00000024,2024-09-23,200,WH-001,1,
GR-00000033,GR-00000033,PO-00000025,2024-04-13,10,WH-002,1,
GR-00000034,GR-00000034,PO-00000026,2024-07-01,4,WH-003,1,
GR-00000035,GR-00000035,PO-00000026,2024-06-29,6,WH-001,1,
GR-00000036,GR-00000036,PO-00000027,2024-07-05,22,WH-003,1,
GR-00000037,GR-00000037,PO-00000027,2024-07-02,60,WH-002,1,
GR-00000038,GR-00000038,PO-00000027,2024-07-06,118,WH-002,1,
GR-00000039,GR-00000039,PO-00000029,2025-03-23,20,WH-001,1,
GR-00000040,GR-00000040,PO-00000030,2024-02-19,25,WH-001,1,
GR-00000041,GR-00000041,PO-00000031,2023-10-28,200,WH-001,1,
GR-00000042,GR-00000042,PO-00000032,2024-10-08,20,WH-001,1,
GR-00000043,GR-00000043,PO-00000033,2024-01-11,100,WH-001,1,
GR-00000044,GR-00000044,PO-00000034,2025-01-12,12,WH-003,1,
GR-00000045,GR-00000045,PO-00000034,2025-01-13,38,WH-001,1,
GR-00000046,GR-00000046,PO-00000035,2024-11-07,50,WH-003,1,
GR-00000047,GR-00000047,PO-00000035,2024-11-08,100,WH-001,1,
GR-00000048,GR-00000048,PO-00000036,2023-08-07,20,WH-002,1,
GR-00000049,GR-00000049,PO-00000036,2023-08-08,180,WH-001,1,
