movement_id,product_id,warehouse_id,movement_date,movement_type,reference_type,reference_id,quantity_in,quantity_out,unit_cost,running_balance
1,PRD-00000115,WH-003,2025-05-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000001,200,0,33.0,370
2,PRD-00000431,WH-002,2023-09-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000002,150,0,89.02,125
3,PRD-00000263,WH-002,2024-11-15,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000003,150,0,75.46,370
4,PRD-00000182,WH-001,2023-08-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000004,20,0,50.76,20
5,PRD-00000092,WH-003,2024-10-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000005,150,0,3.46,234
6,PRD-00000055,WH-001,2023-11-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000006,4,0,13.67,-16
7,PRD-00000055,WH-002,2023-11-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000007,6,0,13.67,106
8,PRD-00000236,WH-002,2025-04-10,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000008,150,0,23.31,681
9,PRD-00000354,WH-003,2023-10-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000009,42,0,25.04,-9
10,PRD-00000354,WH-002,2023-10-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000010,108,0,25.04,98
11,PRD-00000058,WH-001,2024-02-22,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000011,50,0,12.27,0
12,PRD-00000224,WH-002,2024-10-21,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000012,50,0,158.94,308
13,PRD-00000060,WH-002,2024-10-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000013,25,0,5.2,172
14,PRD-00000300,WH-002,2024-08-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000014,18,0,5.04,-118
15,PRD-00000300,WH-003,2024-08-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000015,32,0,5.04,39
16,PRD-00000323,WH-002,2024-12-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000016,71,0,17.12,219
17,PRD-00000323,WH-003,2024-12-25,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000017,3,0,17.12,82
18,PRD-00000323,WH-001,2024-12-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000018,76,0,17.12,97
19,PRD-00000019,WH-001,2025-04-06,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000019,31,0,32.63,-61
20,PRD-00000019,WH-003,2025-04-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000020,1,0,32.63,239
21,PRD-00000019,WH-001,2025-04-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000021,118,0,32.63,57
22,PRD-00000119,WH-003,2024-06-17,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000022,5,0,14.44,63
23,PRD-00000119,WH-001,2024-06-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000023,5,0,14.44,139
24,PRD-00000456,WH-003,2025-05-20,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000024,20,0,1.61,187
25,PRD-00000011,WH-001,2024-11-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000025,29,0,4.72,202
26,PRD-00000011,WH-001,2024-11-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000026,46,0,4.72,173
27,PRD-00000301,WH-003,2025-05-26,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000027,42,0,52.58,17
28,PRD-00000301,WH-002,2025-05-31,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000028,58,0,52.58,498
29,PRD-00000371,WH-002,2025-06-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000029,150,0,5.56,417
30,PRD-00000410,WH-001,2023-10-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000030,9,0,25.3,25
31,PRD-00000410,WH-001,2023-10-24,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000031,41,0,25.3,16
32,PRD-00000103,WH-001,2024-09-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000032,200,0,62.12,449
33,PRD-00000286,WH-002,2024-04-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000033,10,0,19.79,94
34,PRD-00000424,WH-003,2024-07-01,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000034,4,0,234.15,-81
35,PRD-00000424,WH-001,2024-06-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000035,6,0,234.15,66
36,PRD-00000062,WH-003,2024-07-05,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000036,22,0,41.47,284
37,PRD-00000062,WH-002,2024-07-02,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000037,60,0,41.47,60
38,PRD-00000062,WH-002,2024-07-06,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000038,118,0,41.47,178
39,PRD-00000387,WH-001,2025-03-23,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000039,20,0,54.62,295
40,PRD-00000260,WH-001,2024-02-19,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000040,25,0,5.29,52
41,PRD-00000363,WH-001,2023-10-28,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000041,200,0,14.49,200
42,PRD-00000420,WH-001,2024-10-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000042,20,0,5.73,10
43,PRD-00000126,WH-001,2024-01-11,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000043,100,0,18.79,98
44,PRD-00000185,WH-003,2025-01-12,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000044,12,0,115.04,-130
45,PRD-00000185,WH-001,2025-01-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000045,38,0,115.04,303
46,PRD-00000411,WH-003,2024-11-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000046,50,0,5.7,161
47,PRD-00000411,WH-001,2024-11-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000047,100,0,5.7,300
48,PRD-00000484,WH-002,2023-08-07,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000048,20,0,28.29,20
49,PRD-00000484,WH-001,2023-08-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000049,180,0,28.29,180
50,PRD-00000044,WH-003,2023-12-29,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000050,26,0,27.97,139
51,PRD-00000044,WH-002,2024-01-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000051,74,0,27.97,131
52,PRD-00000410,WH-001,2025-06-27,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000052,150,0,26.39,7
53,PRD-00000370,WH-001,2024-05-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000053,100,0,22.55,194
54,PRD-00000359,WH-003,2025-02-14,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000054,200,0,17.83,188
55,PRD-00000358,WH-002,2024-05-18,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000055,150,0,13.53,223
56,PRD-00000200,WH-001,2025-01-03,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000056,75,0,4.2,13
57,PRD-00000388,WH-001,2025-02-04,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000057,25,0,51.81,-79
58,PRD-00000372,WH-002,2024-08-08,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000058,20,0,4.25,297
59,PRD-00000064,WH-003,2025-03-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000059,20,0,197.86,164
60,PRD-00000121,WH-003,2025-06-13,GOODS_RECEIPT,GOODS_RECEIPT,GR-00000060,100,0,6.29,257
