po_id,po_number,supplier_id,product_id,quantity,unit_cost,total_cost,order_date,expected_receipt_date,actual_receipt_date,status,created_by
PO-00000001,PO-00000001,SUP-00000076,PRD-00000115,200,33.0,6600.0,2025-04-23,2025-05-16,2025-05-25,COMPLETED,
PO-00000002,PO-00000002,SUP-00000063,PRD-00000224,200,172.11,34422.0,2023-11-08,2023-12-06,,PENDING,
PO-00000003,PO-00000003,SUP-00000080,PRD-00000431,150,89.02,13353.0,2023-08-18,2023-09-11,2023-09-07,COMPLETED,
PO-00000004,PO-00000004,SUP-00000040,PRD-00000263,150,75.46,11318.999999999998,2024-10-18,2024-11-15,2024-11-18,COMPLETED,
PO-00000005,PO-00000005,SUP-00000056,PRD-00000182,20,50.76,1015.1999999999999,2023-07-17,2023-07-27,2023-08-05,COMPLETED,
PO-00000006,PO-00000006,SUP-00000071,PRD-00000092,150,3.46,519.0,2024-08-30,2024-09-28,2024-10-07,COMPLETED,
PO-00000007,PO-00000007,SUP-00000084,PRD-00000388,200,64.13,12826.0,2024-03-28,2024-04-14,,PENDING,
PO-00000008,PO-00000008,SUP-00000022,PRD-00000447,50,55.54,2777.0,2025-03-10,2025-03-25,,PENDING,
PO-00000009,PO-00000009,SUP-00000003,PRD-00000055,10,13.67,136.7,2023-10-28,2023-11-04,2023-11-14,COMPLETED,
PO-00000010,PO-00000010,SUP-00000097,PRD-00000236,150,23.31,3496.5,2025-03-08,2025-04-07,2025-04-13,COMPLETED,
PO-00000011,PO-00000011,SUP-00000069,PRD-00000354,150,25.04,3756.0,2023-09-28,2023-10-09,2023-10-10,COMPLETED,
PO-00000012,PO-00000012,SUP-00000083,PRD-00000058,50,12.27,613.5,2024-01-31,2024-02-22,2024-02-24,COMPLETED,
PO-00000013,PO-00000013,SUP-00000014,PRD-00000224,50,158.94,7947.0,2024-10-17,2024-10-28,2024-10-23,COMPLETED,
PO-00000014,PO-00000014,SUP-00000063,PRD-00000060,25,5.2,130.0,2024-09-28,2024-10-20,2024-10-29,COMPLETED,
PO-00000015,PO-00000015,SUP-00000080,PRD-00000300,50,5.04,252.0,2024-08-05,2024-08-13,2024-08-11,COMPLETED,
PO-00000016,PO-00000016,SUP-00000035,PRD-00000323,150,17.12,2568.0,2024-11-19,2024-12-19,2024-12-23,COMPLETED,
PO-00000017,PO-00000017,SUP-00000097,PRD-00000019,150,32.63,4894.5,2025-02-25,2025-03-27,2025-04-06,COMPLETED,
