quotation_id,quotation_number,lead_id,customer_id,salesperson_id,amount,quotation_date,valid_until_date,status,notes
QUO-00000001,QUO-00000001,LEAD-00000430,CUST-00000993,SP-00000010,1161.5,2024-04-03,2024-05-03,ACCEPTED,
QUO-00000002,QUO-00000002,LEAD-00002198,CUST-00000151,SP-00000010,1516.44,2023-11-12,2023-12-12,SENT,
QUO-00000003,QUO-00000003,LEAD-00002341,CUST-00000898,SP-00000002,1031.35,2024-11-07,2024-12-07,ACCEPTED,
QUO-00000004,QUO-00000004,LEAD-00002475,CUST-00000143,SP-00000006,50.54,2024-04-20,2024-05-20,SENT,
QUO-00000005,QUO-00000005,,CUST-00000762,SP-00000016,5799.45,2024-10-29,2024-11-28,ACCEPTED,
QUO-00000006,QUO-00000006,,CUST-00000972,SP-00000005,1116.9,2024-06-12,2024-07-12,ACCEPTED,
QUO-00000007,QUO-00000007,LEAD-00002880,CUST-00000121,SP-00000012,1021.88,2024-10-07,2024-11-06,SENT,
QUO-00000008,QUO-00000008,LEAD-00000372,CUST-00000338,SP-00000004,3506.69,2025-02-03,2025-03-05,ACCEPTED,
QUO-00000009,QUO-00000009,,CUST-00000360,SP-00000003,1558.88,2025-01-15,2025-02-14,ACCEPTED,
QUO-00000010,QUO-00000010,,CUST-00000154,SP-00000010,1356.4,2025-01-24,2025-02-23,ACCEPTED,
QUO-00000011,QUO-00000011,LEAD-00002866,CUST-00000430,SP-00000019,1006.28,2023-10-23,2023-11-22,REJECTED,
QUO-00000012,QUO-00000012,LEAD-00001788,CUST-00000032,SP-00000017,6280.56,2025-05-12,2025-06-11,EXPIRED,
QUO-00000013,QUO-00000013,LEAD-00001822,CUST-00000977,SP-00000016,5910.51,2023-11-19,2023-12-19,ACCEPTED,
QUO-00000014,QUO-00000014,LEAD-00002103,CUST-00000456,SP-00000018,1337.31,2024-02-11,2024-03-12,ACCEPTED,
QUO-00000015,QUO-00000015,,CUST-00000307,SP-00000009,2819.64,2025-06-29,2025-07-29,ACCEPTED,
QUO-00000016,QUO-00000016,LEAD-00001034,CUST-00000316,SP-00000008,5256.83,2024-09-21,2024-10-21,ACCEPTED,
QUO-00000017,QUO-00000017,LEAD-00000702,CUST-00000947,SP-00000005,1816.22,2024-12-19,2025-01-18,ACCEPTED,
QUO-00000018,QUO-00000018,,CUST-00000804,SP-00000009,1804.66,2024-01-27,2024-02-26,ACCEPTED,
QUO-00000019,QUO-00000019,,CUST-00000819,SP-00000015,856.97,2023-12-18,2024-01-17,SENT,
QUO-00000020,QUO-00000020,,CUST-00000115,SP-00000020,79.14,2023-07-23,2023-08-22,EXPIRED,
QUO-00000021,QUO-00000021,,CUST-00000885,SP-00000009,1182.64,2024-04-30,2024-05-30,REJECTED,
QUO-00000022,QUO-00000022,LEAD-00000114,CUST-00000404,SP-00000020,1236.78,2023-12-01,2023-12-31,REJECTED,
QUO-00000023,QUO-00000023,LEAD-00001840,CUST-00000194,SP-00000008,2640.22,2023-11-23,2023-12-23,REJECTED,
QUO-00000024,QUO-00000024,,CUST-00000030,SP-00000013,3765.86,2024-06-03,2024-07-03,EXPIRED,
