id,customer_id,customer_name,industry,region,total_orders,total_revenue,total_profit,avg_margin_pct,total_invoices,open_invoices,overdue_invoices,avg_days_to_pay,last_order_date
1,CUST-00000001,Acme Corp,Hospitality,Central,5,1591.6499999999999,329.06999999999994,38.0,5,1,0,42.0,2024-09-13
2,CUST-00000002,TechStart Inc,Government,South,2,225.69,95.7,48.68,2,2,0,0.0,2023-09-14
3,CUST-00000003,Global Solutions,Government,East,9,11332.93,3188.86,39.59,9,4,1,46.0,2025-01-23
4,CUST-00000004,Metro Services,Real Estate,East,10,1782.95,87.45,37.7875,10,5,1,14.4,2025-05-19
5,CUST-00000005,Premier Industries,Healthcare,South,8,2908.92,30.320000000000007,37.7,8,5,0,10.0,2025-06-30
6,CUST-00000006,Sunrise Enterprises,Healthcare,North,6,2582.21,480.71999999999997,39.20333333333333,6,2,0,40.0,2024-11-08
7,CUST-00000007,Pinnacle Group,Transportation,West,9,12321.96,4317.95,40.724999999999994,9,5,0,31.25,2025-05-13
8,CUST-00000008,Horizon Tech,Hospitality,East,6,3811.14,192.59000000000006,37.59,6,1,0,22.2,2024-12-17
9,CUST-00000009,Summit Partners,Energy,North,22,26855.98,2614.12,34.955000000000005,22,7,1,11.466666666666667,2025-05-28
10,CUST-00000010,Valley Systems,Finance,North,9,4000.35,297.88,35.792,9,6,0,62.333333333333336,2025-02-02
11,CUST-00000011,Coastal Manufacturing,Technology,Central,5,4282.27,677.9000000000003,31.91,5,3,1,42.5,2025-06-07
12,CUST-00000012,Mountain Logistics,Education,Central,3,598.68,215.29999999999995,38.56,3,3,0,0.0,2025-02-25
13,CUST-00000013,Central Trading,Retail,East,7,4394.26,206.76,36.26,7,2,0,57.8,2025-04-15
14,CUST-00000014,Eastern Supplies,Agriculture,East,18,8258.0,1133.98,36.771428571428565,18,8,1,60.5,2025-04-19
15,CUST-00000015,Western Distributors,Government,North,5,2000.36,326.68000000000006,33.870000000000005,5,2,0,50.0,2025-03-09
16,CUST-00000016,Northern Holdings,Education,South,4,3642.41,14.959999999999997,46.74,4,1,0,40.0,2025-04-30
17,CUST-00000017,Southern Ventures,Retail,North,9,10127.07,916.95,38.835,9,4,0,35.4,2025-04-12
18,CUST-00000018,Atlas Corporation,Healthcare,West,10,8060.95,378.25,38.82,10,6,0,56.0,2025-01-13
19,CUST-00000019,Titan Industries,Retail,West,15,4741.15,647.0399999999998,37.89,15,5,3,66.1,2025-05-27
20,CUST-00000020,Omega Enterprises,Manufacturing,West,23,22039.09,3972.8,40.92166666666667,23,4,4,62.578947368421055,2025-04-29
21,CUST-00000021,Edwards-Williams Ltd,Transportation,West,2,4277.45,1710.98,40.0,2,0,0,54.0,2024-11-29
22,CUST-00000022,Figueroa Inc LLC,Hospitality,South,17,26210.41,6359.660000000001,34.53666666666667,17,6,1,45.45454545454545,2025-06-10
23,CUST-00000023,Tran-Silva LLC,Transportation,North,4,2991.56,1112.4399999999998,36.593333333333334,4,3,0,60.0,2025-06-21
24,CUST-00000024,"Butler, Hernandez and Rivera Ltd",Retail,West,6,3262.66,228.62,33.163333333333334,6,3,0,24.666666666666668,2025-06-09
25,CUST-00000025,Hudson-Sanchez Corp,Consulting,South,21,26884.52,6610.41,37.213,21,11,2,17.9,2025-04-22
26,CUST-00000026,"Pena, Cohen and Scott Ltd",Agriculture,South,3,9034.57,3723.75,47.5,3,2,0,22.0,2024-06-02
27,CUST-00000027,Levy-May Inc,Retail,South,8,2926.92,718.9999999999998,32.384,8,5,0,23.666666666666668,2025-06-11
28,CUST-00000028,Murray-Oconnor Ltd,Healthcare,North,16,10028.62,2992.8,37.04,16,3,0,66.38461538461539,2025-06-12
29,CUST-00000029,Jackson-Cortez Ltd,Consulting,Central,7,8184.5,205.64999999999998,33.24,7,2,0,41.4,2025-01-16
30,CUST-00000030,White-Preston Corp,Healthcare,West,8,2893.53,267.66,38.5075,8,2,1,61.833333333333336,2025-04-27
31,CUST-00000031,"Bernard, Warren and Combs Corp",Consulting,East,15,13971.61,2026.88,42.06,15,7,3,50.25,2025-06-28
32,CUST-00000032,Landry Ltd Ltd,Retail,East,14,8545.66,674.52,41.05,14,6,3,10.375,2025-06-14
33,CUST-00000033,Duran Group LLC,Hospitality,East,7,5375.84,110.28999999999999,36.105000000000004,7,3,0,51.75,2024-12-09
34,CUST-00000034,Kirby and Sons Co,Government,Central,4,542.99,35.99999999999999,43.5,4,1,1,56.0,2025-06-06
35,CUST-00000035,Mann Inc Ltd,Finance,South,8,8316.75,1992.7299999999996,33.36,8,6,0,74.0,2025-06-30
36,CUST-00000036,Wagner LLC Ltd,Healthcare,North,6,4240.21,643.54,43.92,6,1,1,49.6,2025-05-04
37,CUST-00000037,Williamson Ltd LLC,Agriculture,South,17,21192.8,4989.75,36.18875,17,9,0,59.5,2025-06-09
38,CUST-00000038,"Durham, Hopkins and Smith Co",Agriculture,Central,12,6344.49,684.36,42.098,12,8,0,36.75,2025-05-04
39,CUST-00000039,"Arnold, Smith and Moreno Corp",Energy,East,20,19659.95,1061.25,36.87777777777778,20,8,2,45.666666666666664,2025-05-07
40,CUST-00000040,Nichols-Mitchell Ltd,Manufacturing,East,13,11945.11,3195.4,37.31714285714286,13,4,0,13.222222222222221,2025-06-15
41,CUST-00000041,"Li, Craig and Drake Ltd",Finance,West,5,409.25,43.720000000000006,35.525000000000006,5,3,0,24.5,2025-06-27
42,CUST-00000042,Rodriguez Inc Corp,Retail,Central,6,6373.139999999999,1706.2099999999996,34.415000000000006,6,3,0,46.0,2025-06-01
43,CUST-00000043,"Hernandez, Lee and Fox Corp",Finance,West,4,975.3299999999999,228.89999999999998,43.42666666666667,4,2,0,10.5,2024-12-17
44,CUST-00000044,Adams-Sanders Corp,Agriculture,West,21,14374.710000000001,2279.8099999999995,38.035714285714285,21,7,2,29.428571428571427,2025-06-25
45,CUST-00000045,Chung-Stevens Ltd,Retail,West,8,14365.24,4649.950000000001,39.398,8,3,0,9.8,2025-06-06
46,CUST-00000046,Branch and Sons Corp,Construction,South,7,2584.9700000000003,443.97,29.0675,7,3,0,64.5,2025-06-04
47,CUST-00000047,Sutton-Abbott Inc,Education,South,7,2018.3600000000001,331.48,36.15,7,3,1,41.25,2025-03-30
48,CUST-00000048,"Frey, Santos and Johnson LLC",Agriculture,Central,4,617.61,269.12,42.77,4,1,1,12.333333333333334,2025-04-14
49,CUST-00000049,Gray-Tran Corp,Energy,Central,10,8041.62,1984.33,38.72,10,4,1,58.833333333333336,2025-04-14
50,CUST-00000050,Walsh Ltd Inc,Healthcare,South,5,551.7,11.3,31.74,5,0,0,33.8,2025-02-06
51,CUST-00000051,Miller Group Co,Manufacturing,West,11,12789.75,4206.17,37.08375,11,4,2,59.714285714285715,2025-02-02
52,CUST-00000052,"Mueller, Knight and Hodge Ltd",Construction,West,7,22286.2,8512.939999999999,39.402499999999996,7,5,0,25.5,2025-05-18
53,CUST-00000053,Jacobson Inc Corp,Consulting,West,19,11473.4,1150.37,36.50111111111111,19,6,4,59.46153846153846,2025-05-26
54,CUST-00000054,Lewis Ltd Co,Consulting,East,7,5550.99,78.85,30.1,7,3,1,67.75,2025-06-07
55,CUST-00000055,"Alvarez, Williams and Jones Inc",Media,South,8,6072.24,612.8100000000002,30.81,8,0,0,40.125,2025-05-31
56,CUST-00000056,Lam-Elliott LLC,Finance,West,20,18812.98,1464.6999999999998,37.73,20,9,1,19.0,2025-05-26
57,CUST-00000057,White LLC Ltd,Media,North,13,14905.27,3637.22,38.686,13,7,0,35.833333333333336,2025-05-19
58,CUST-00000058,Ali PLC Corp,Technology,Central,7,11430.27,1090.0,36.01333333333333,7,4,0,19.333333333333332,2025-06-26
59,CUST-00000059,Goodwin Ltd Inc,Media,West,11,8731.57,291.98,40.34,11,3,1,63.125,2025-03-24
60,CUST-00000060,Hickman-Evans LLC,Transportation,Central,2,1733.0,820.4,40.260000000000005,2,1,0,74.0,2025-01-03
61,CUST-00000061,"Allen, Davenport and Price LLC",Hospitality,South,6,960.73,272.31,33.314,6,0,1,14.166666666666666,2025-03-21
62,CUST-00000062,"Rivera, Campos and Taylor Corp",Consulting,South,13,10377.94,1236.1000000000001,38.3875,13,9,0,42.75,2025-06-24
63,CUST-00000063,"Ramsey, Mason and Mccann Co",Real Estate,South,12,11843.53,613.75,34.833333333333336,12,3,0,61.0,2025-05-26
64,CUST-00000064,Davis and Sons Ltd,Manufacturing,North,7,6114.92,2488.44,38.757999999999996,7,5,0,26.0,2025-05-28
65,CUST-00000065,Peterson PLC Inc,Agriculture,Central,10,2727.6,568.31,36.7325,10,5,0,19.0,2025-05-07
66,CUST-00000066,"Sanders, Ayala and Johnson Corp",Education,East,5,3633.89,852.1800000000001,38.01,5,1,1,26.5,2024-12-03
67,CUST-00000067,Bowers-Hayes Co,Finance,Central,10,11622.99,522.75,37.0175,10,4,2,12.833333333333334,2025-06-11
68,CUST-00000068,Kelly Group Co,Government,Central,5,5322.13,25.11,34.4,5,2,0,30.666666666666668,2025-03-15
69,CUST-00000069,Lopez-Willis Inc,Construction,West,9,10366.63,3162.91,37.99857142857143,9,3,2,46.833333333333336,2025-04-15
70,CUST-00000070,Miller-Montgomery Inc,Government,West,12,25588.03,1103.8,41.322,12,3,2,45.22222222222222,2025-05-21
71,CUST-00000071,Marquez Inc LLC,Agriculture,Central,19,15103.36,2249.16,38.667142857142856,19,5,1,17.642857142857142,2025-04-14
72,CUST-00000072,Moore-Dawson Co,Media,West,11,10557.23,186.55999999999997,40.5175,11,3,0,45.875,2025-01-09
73,CUST-00000073,"Moore, Price and Ward Corp",Real Estate,North,29,12148.32,1920.63,37.346428571428575,29,9,4,49.65,2025-06-11
74,CUST-00000074,Smith LLC Inc,Real Estate,North,7,21205.68,1675.8,42.730000000000004,7,4,1,32.333333333333336,2024-12-16
75,CUST-00000075,Ward-Nelson LLC,Hospitality,Central,4,242.05,26.679999999999996,47.49,4,2,0,55.5,2025-06-30
76,CUST-00000076,Miller Group Co,Finance,South,4,1556.58,20.65,40.72,4,0,2,63.0,2025-03-15
77,CUST-00000077,Hawkins-Hunt LLC,Construction,South,11,19716.77,4959.4800000000005,33.6,11,6,0,18.0,2025-06-07
78,CUST-00000078,Johnson LLC Corp,Energy,East,1,20.65,8.26,40.0,1,0,0,61.0,2025-03-17
79,CUST-00000079,"Davis, George and Nguyen Corp",Manufacturing,South,12,5730.87,164.72000000000003,39.82333333333333,12,5,2,13.285714285714286,2025-05-10
80,CUST-00000080,Smith-Gutierrez Corp,Construction,North,13,10085.79,574.2099999999999,35.208,13,3,2,60.2,2025-05-27
81,CUST-00000081,Hardy PLC Co,Energy,West,8,1750.69,457.05000000000007,39.49333333333333,8,5,0,68.0,2024-11-19
82,CUST-00000082,Armstrong and Sons Co,Hospitality,Central,10,4867.58,1286.86,36.402,10,3,0,63.42857142857143,2025-05-17
83,CUST-00000083,"James, Taylor and Turner LLC",Transportation,Central,20,8991.73,670.9,39.279999999999994,20,6,2,49.714285714285715,2025-06-13
84,CUST-00000084,Thomas-Jackson Corp,Retail,North,20,10950.13,2287.95,36.25555555555556,20,11,0,46.333333333333336,2025-06-02
85,CUST-00000085,Fisher-Washington Co,Government,West,16,23854.24,2147.15,37.00333333333333,16,7,0,43.666666666666664,2025-05-23
86,CUST-00000086,Ward and Sons Co,Manufacturing,East,10,5062.35,190.98999999999995,35.745,10,4,1,45.5,2025-02-27
87,CUST-00000087,"Weber, Wheeler and Gonzalez LLC",Retail,West,10,7005.7,331.03999999999996,34.836666666666666,10,3,3,31.285714285714285,2025-03-20
88,CUST-00000088,Taylor Inc LLC,Healthcare,Central,8,2966.83,125.09999999999998,35.818,8,5,1,13.333333333333334,2025-06-12
89,CUST-00000089,Cook-Oliver Inc,Retail,South,9,5773.44,1588.5,43.078,9,3,1,46.5,2025-03-21
90,CUST-00000090,Alexander-Jordan Co,Government,North,10,9977.61,1729.8899999999999,38.098,10,5,0,57.2,2025-05-28
91,CUST-00000091,"Mccann, Taylor and Flores Corp",Hospitality,West,17,14176.5,587.0799999999999,34.07,17,10,1,29.142857142857142,2025-06-26
92,CUST-00000092,"Harris, Edwards and Oconnell Ltd",Hospitality,West,15,13765.49,4038.49,42.68857142857143,15,5,2,30.2,2025-05-23
93,CUST-00000093,Carter-Neal LLC,Manufacturing,South,5,2191.87,11.48,43.13,5,4,1,55.0,2025-03-19
94,CUST-00000094,Faulkner-Casey Ltd,Retail,East,15,9762.8,1381.07,38.235,15,3,3,27.166666666666668,2025-06-24
95,CUST-00000095,Bennett-Velasquez Ltd,Construction,West,17,4626.02,1103.7400000000002,40.175714285714285,17,7,1,26.0,2025-06-27
96,CUST-00000096,Diaz-Frederick LLC,Technology,South,11,3871.18,769.8700000000001,34.818333333333335,11,2,0,23.555555555555557,2025-06-19
97,CUST-00000097,Vargas PLC Corp,Finance,East,20,10085.58,1970.53,39.10125,20,5,4,49.13333333333333,2025-06-20
98,CUST-00000098,Maldonado PLC Corp,Media,South,10,7456.62,492.71000000000004,41.07666666666667,10,3,2,42.285714285714285,2025-04-11
99,CUST-00000099,Benton Group Ltd,Education,North,5,3210.43,424.37,43.05666666666667,5,4,0,47.0,2025-02-24
100,CUST-00000100,"Clark, Salinas and Guerra Co",Manufacturing,East,20,12884.52,4078.9,40.196363636363635,20,10,2,43.5,2025-05-01
101,CUST-00000101,Fuentes Group Co,Consulting,Central,6,1418.03,356.39,40.474999999999994,6,2,0,16.0,2025-06-20
102,CUST-00000102,"Porter, Schultz and Allen LLC",Construction,West,6,4636.27,14.800000000000004,32.74,6,2,1,69.0,2025-05-30
103,CUST-00000103,"Moore, Henderson and Bennett Co",Media,Central,8,2163.35,392.1,41.81,8,3,1,47.8,2025-03-31
104,CUST-00000104,Ewing-Mendoza LLC,Technology,West,5,5076.12,155.25,42.150000000000006,5,1,0,48.25,2025-05-31
105,CUST-00000105,Ferguson-Mclean Inc,Energy,Central,1,1109.0,398.5,35.93,1,1,0,0.0,2024-12-21
106,CUST-00000106,"Barnes, Johnson and Schmitt Inc",Transportation,Central,3,3114.5,1219.8,38.47,3,1,0,42.5,2025-02-16
107,CUST-00000107,"Woodard, Herrera and Little Corp",Healthcare,South,11,5620.38,54.919999999999995,31.93,11,4,2,48.42857142857143,2025-05-07
108,CUST-00000108,Rodriguez and Sons Ltd,Energy,East,34,32681.86,4877.6,38.86153846153846,34,19,0,30.066666666666666,2025-06-25
109,CUST-00000109,"Ortega, Jackson and Salazar Ltd",Construction,South,7,5149.31,448.21999999999997,33.36,7,3,1,11.75,2025-06-03
110,CUST-00000110,"Terrell, Byrd and Ross Ltd",Finance,South,17,33120.23,1963.64,37.87428571428571,17,8,2,31.555555555555557,2025-04-19
111,CUST-00000111,Sheppard-Jordan Inc,Finance,Central,9,8050.47,2691.46,37.455,9,1,2,49.875,2024-12-15
112,CUST-00000112,Garcia and Sons Ltd,Manufacturing,North,14,11496.07,1412.3600000000001,36.444,14,8,1,51.0,2025-06-15
113,CUST-00000113,"Burgess, Grant and Watts Inc",Consulting,Central,7,7898.29,179.40999999999997,35.04,7,1,2,13.333333333333334,2025-06-06
114,CUST-00000114,Griffin Group Co,Energy,Central,5,2129.8599999999997,341.2699999999999,44.19,5,1,1,61.25,2025-03-29
115,CUST-00000115,Barton-Chapman Inc,Consulting,West,3,653.05,21.959999999999994,27.555,3,0,1,16.666666666666668,2024-08-22
116,CUST-00000116,"Hernandez, Cuevas and Webb LLC",Healthcare,West,2,65.11,17.58,33.31,2,0,1,51.0,2024-05-04
117,CUST-00000117,Perry-Nixon Inc,Hospitality,Central,7,4547.72,6.579999999999998,22.55,7,2,0,51.6,2025-06-27
118,CUST-00000118,Guerra Ltd Corp,Transportation,South,6,4559.7,1620.9599999999998,40.525,6,2,2,16.25,2025-04-26
119,CUST-00000119,Bailey LLC Corp,Education,West,8,18077.94,7290.26,39.59,8,5,0,54.333333333333336,2025-06-08
