id,product_id,product_name,sku,category,warehouse_id,warehouse_name,quantity_on_hand,average_cost,total_value,last_receipt_date,days_since_last_receipt,turns_per_year,last_updated
1,PRD-00000001,USB-C Cable,SKU-00001,Electronics,WH-001,Main Distribution Center,312,7.67,2393.04,2025-03-06,461.27538528945297,,2025-06-30
2,PRD-00000001,USB-C Cable,SKU-00001,Electronics,WH-002,East Coast Hub,58,7.95,461.1,2025-03-06,461.27538528945297,,2025-06-30
3,PRD-00000002,HDMI Cable 6ft,SKU-00002,Electronics,WH-001,Main Distribution Center,274,4.42,1211.08,2025-04-30,406.27538528945297,,2025-06-30
4,PRD-00000002,HDMI Cable 6ft,SKU-00002,Electronics,WH-002,East Coast Hub,289,4.43,1280.27,2025-04-30,406.27538528945297,,2025-06-30
5,PRD-00000003,Wireless Mouse,SKU-00003,Electronics,WH-001,Main Distribution Center,254,13.93,3538.22,2025-03-29,438.27538528945297,,2025-06-30
6,PRD-00000004,Bluetooth Keyboard,SKU-00004,Electronics,WH-001,Main Distribution Center,195,25.88,5046.599999999999,2025-07-02,343.27538528945297,,2025-06-30
7,PRD-00000004,Bluetooth Keyboard,SKU-00004,Electronics,WH-002,East Coast Hub,316,27.34,8639.44,2025-07-02,343.27538528945297,,2025-06-30
8,PRD-00000004,Bluetooth Keyboard,SKU-00004,Electronics,WH-003,West Coast Center,615,27.7,17035.5,2025-07-02,343.27538528945297,,2025-06-30
9,PRD-00000005,Webcam HD,SKU-00005,Electronics,WH-001,Main Distribution Center,242,49.85,12063.7,2025-06-12,363.27538528945297,,2025-06-30
10,PRD-00000006,USB Hub 7-Port,SKU-00006,Electronics,WH-001,Main Distribution Center,323,20.25,6540.75,2024-11-19,568.275385289453,,2025-06-30
11,PRD-00000006,USB Hub 7-Port,SKU-00006,Electronics,WH-002,East Coast Hub,59,24.33,1435.4699999999998,2024-11-19,568.275385289453,,2025-06-30
12,PRD-00000006,USB Hub 7-Port,SKU-00006,Electronics,WH-003,West Coast Center,46,22.44,1032.24,2024-11-19,568.275385289453,,2025-06-30
13,PRD-00000007,Ethernet Switch 8-Port,SKU-00007,Electronics,WH-001,Main Distribution Center,151,57.34,8658.34,2025-05-04,402.27538528945297,,2025-06-30
14,PRD-00000007,Ethernet Switch 8-Port,SKU-00007,Electronics,WH-002,East Coast Hub,205,53.87,11043.35,2025-05-04,402.27538528945297,,2025-06-30
15,PRD-00000008,Power Strip 6-Outlet,SKU-00008,Electronics,WH-001,Main Distribution Center,193,11.05,2132.65,2025-05-09,397.27538528945297,,2025-06-30
16,PRD-00000008,Power Strip 6-Outlet,SKU-00008,Electronics,WH-002,East Coast Hub,220,10.36,2279.2,2025-05-09,397.27538528945297,,2025-06-30
17,PRD-00000008,Power Strip 6-Outlet,SKU-00008,Electronics,WH-003,West Coast Center,543,10.08,5473.44,2025-05-09,397.27538528945297,,2025-06-30
18,PRD-00000009,Surge Protector,SKU-00009,Electronics,WH-001,Main Distribution Center,29,18.13,525.77,2024-11-28,559.275385289453,,2025-06-30
19,PRD-00000009,Surge Protector,SKU-00009,Electronics,WH-002,East Coast Hub,9,17.39,156.51,2024-11-28,559.275385289453,,2025-06-30
20,PRD-00000009,Surge Protector,SKU-00009,Electronics,WH-003,West Coast Center,87,17.7,1539.8999999999999,2024-11-28,559.275385289453,,2025-06-30
21,PRD-00000010,Laptop Stand,SKU-00010,Electronics,WH-001,Main Distribution Center,119,22.79,2712.0099999999998,2025-03-14,453.27538528945297,,2025-06-30
22,PRD-00000010,Laptop Stand,SKU-00010,Electronics,WH-003,West Coast Center,73,23.43,1710.3899999999999,2025-03-14,453.27538528945297,,2025-06-30
23,PRD-00000011,A4 Paper Ream,SKU-00011,Office Supplies,WH-001,Main Distribution Center,367,4.58,1680.8600000000001,2025-03-16,451.27538528945297,,2025-06-30
24,PRD-00000011,A4 Paper Ream,SKU-00011,Office Supplies,WH-003,West Coast Center,194,4.09,793.4599999999999,2025-03-16,451.27538528945297,,2025-06-30
25,PRD-00000012,Ballpoint Pens 12-Pack,SKU-00012,Office Supplies,WH-002,East Coast Hub,153,3.82,584.4599999999999,2025-01-28,498.27538528945297,,2025-06-30
26,PRD-00000012,Ballpoint Pens 12-Pack,SKU-00012,Office Supplies,WH-003,West Coast Center,112,3.71,415.52,2025-01-28,498.27538528945297,,2025-06-30
27,PRD-00000013,Sticky Notes 3x3,SKU-00013,Office Supplies,WH-001,Main Distribution Center,374,2.73,1021.02,2025-05-23,383.27538528945297,,2025-06-30
28,PRD-00000013,Sticky Notes 3x3,SKU-00013,Office Supplies,WH-002,East Coast Hub,298,2.43,724.1400000000001,2025-05-23,383.27538528945297,,2025-06-30
29,PRD-00000013,Sticky Notes 3x3,SKU-00013,Office Supplies,WH-003,West Coast Center,127,2.6,330.2,2025-05-23,383.27538528945297,,2025-06-30
30,PRD-00000014,File Folders 100-Pack,SKU-00014,Office Supplies,WH-001,Main Distribution Center,187,7.12,1331.44,2025-01-09,517.275385289453,,2025-06-30
31,PRD-00000014,File Folders 100-Pack,SKU-00014,Office Supplies,WH-002,East Coast Hub,177,7.61,1346.97,2025-01-09,517.275385289453,,2025-06-30
32,PRD-00000014,File Folders 100-Pack,SKU-00014,Office Supplies,WH-003,West Coast Center,14,7.38,103.32,2025-01-09,517.275385289453,,2025-06-30
33,PRD-00000015,Stapler Heavy Duty,SKU-00015,Office Supplies,WH-001,Main Distribution Center,6,16.51,99.06,2025-01-03,523.275385289453,,2025-06-30
34,PRD-00000015,Stapler Heavy Duty,SKU-00015,Office Supplies,WH-002,East Coast Hub,2,16.85,33.7,2025-01-03,523.275385289453,,2025-06-30
35,PRD-00000015,Stapler Heavy Duty,SKU-00015,Office Supplies,WH-003,West Coast Center,131,16.27,2131.37,2025-01-03,523.275385289453,,2025-06-30
