id,po_id,po_number,order_date,year,month,quarter,supplier_id,supplier_name,country,supplier_type,product_id,product_name,category,quantity,unit_cost,total_cost,receipt_date,days_to_deliver,on_time_delivery,status
1,PO-00000001,PO-00000001,2025-04-23,2025,4,2,SUP-00000076,Pacific Trading Co #76,Netherlands,Distributor,PRD-00000115,Screwdriver Set 100pc Lite,Tools,200,33.0,6600.0,2025-05-25,32.0,0.0,COMPLETED
2,PO-00000002,PO-00000002,2023-11-08,2023,11,4,SUP-00000063,FastParts Direct #63,United States,Wholesaler,PRD-00000224,Monitor 27 inch Lite,Computer Hardware,200,172.11,34422.0,,,,PENDING
3,PO-00000003,PO-00000003,2023-08-18,2023,8,3,SUP-00000080,Coastal Distributors #80,India,Manufacturer,PRD-00000431,Drill Driver Cordless Premium,Tools,150,89.02,13353.0,2023-09-07,20.0,1.0,COMPLETED
4,PO-00000004,PO-00000004,2024-10-18,2024,10,4,SUP-00000040,Coastal Distributors #40,Japan,Distributor,PRD-00000263,Mechanical Keyboard HD,Computer Hardware,150,75.46,11318.999999999998,2024-11-18,31.0,0.0,COMPLETED
5,PO-00000005,PO-00000005,2023-07-17,2023,7,3,SUP-00000056,Pacific Trading Co #56,Spain,Wholesaler,PRD-00000182,RAM 16GB DDR4 HD,Computer Hardware,20,50.76,1015.1999999999999,2023-08-05,19.0,0.0,COMPLETED
6,PO-00000006,PO-00000006,2024-08-30,2024,8,3,SUP-00000071,Elite Imports #71,Italy,Importer,PRD-00000092,Ballpoint Pens 12-Pack Premium,Office Supplies,150,3.46,519.0,2024-10-07,38.0,0.0,COMPLETED
7,PO-00000007,PO-00000007,2024-03-28,2024,3,2,SUP-00000084,QualitySource Inc #84,South Korea,Wholesaler,PRD-00000388,Power Supply 650W Premium,Computer Hardware,200,64.13,12826.0,,,,PENDING
8,PO-00000008,PO-00000008,2025-03-10,2025,3,2,SUP-00000022,Prime Industrial #22,Australia,Wholesaler,PRD-00000447,Ethernet Switch 8-Port Max,Electronics,50,55.54,2777.0,,,,PENDING
9,PO-00000009,PO-00000009,2023-10-28,2023,10,4,SUP-00000003,FastParts Direct,Australia,Importer,PRD-00000055,Stapler Heavy Duty Pro,Office Supplies,10,13.67,136.7,2023-11-14,17.0,0.0,COMPLETED
10,PO-00000010,PO-00000010,2025-03-08,2025,3,2,SUP-00000097,Atlantic Supply #97,France,Manufacturer,PRD-00000236,Wrench Set Adjustable Premium,Tools,150,23.31,3496.5,2025-04-13,36.0,0.0,COMPLETED
