id,invoice_id,invoice_number,so_number,invoice_date,due_date,customer_id,customer_name,total_amount,amount_paid,amount_outstanding,days_overdue,aging_bucket,status
1,INV-00000001,INV-00000001,SO-00000001,2025-05-01,2025-05-31,CUST-00000044,Adams-Sanders Corp,2119.15,0.0,2119.15,375.27543738437817,OVER 90 DAYS,OVERDUE
2,INV-00000002,INV-00000002,SO-00000002,2025-03-23,2025-05-07,CUST-00000451,Taylor and Sons Co,261.18,102.17,159.01,399.27543738437817,OVER 90 DAYS,PARTIAL
3,INV-00000003,INV-00000003,SO-00000003,2024-08-05,2024-08-20,CUST-00000851,"Moody, Martinez and Hall Corp",73.75,73.75,0.0,0.0,PAID,PAID
4,INV-00000004,INV-00000004,SO-00000004,2025-06-18,2025-07-18,CUST-00000592,"Austin, Oliver and Haley Co",25.29,25.29,0.0,0.0,PAID,PAID
5,INV-00000005,INV-00000005,SO-00000005,2023-10-17,2023-12-01,CUST-00000795,"Brown, Wise and Warren Co",202.96,202.96,0.0,0.0,PAID,PAID
6,INV-00000006,INV-00000006,SO-00000006,2023-12-23,2024-02-21,CUST-00000949,"Hill, Brown and Scott Corp",2491.35,1395.29,1096.06,840.2754373843782,OVER 90 DAYS,PARTIAL
7,INV-00000007,INV-00000007,SO-00000007,2023-10-18,2023-12-17,CUST-00000263,Blake Group Corp,81.8,0.0,81.8,906.2754373843782,OVER 90 DAYS,OPEN
8,INV-00000008,INV-00000008,SO-00000008,2024-10-15,2024-10-30,CUST-00000875,Owen-Brown Corp,8787.78,8787.78,0.0,0.0,PAID,PAID
9,INV-00000009,INV-00000009,SO-00000009,2024-07-31,2024-09-29,CUST-00000664,Gomez-Parrish Inc,948.19,948.19,0.0,0.0,PAID,PAID
10,INV-00000010,INV-00000010,SO-00000010,2024-10-15,2024-10-30,CUST-00000492,"Jones, Cummings and Conway LLC",111.14,111.14,0.0,0.0,PAID,PAID
11,INV-00000011,INV-00000011,SO-00000011,2023-08-20,2023-10-19,CUST-00000525,Mcgee-Smith Co,220.8,220.8,0.0,0.0,PAID,PAID
12,INV-00000012,INV-00000012,SO-00000013,2023-12-22,2024-02-05,CUST-00000889,"Jordan, Swanson and Franklin Ltd",64.66,0.0,64.66,856.2754373843782,OVER 90 DAYS,OPEN
13,INV-00000013,INV-00000013,SO-00000016,2024-06-19,2024-08-03,CUST-00000724,Dunn Ltd Ltd,191.5,0.0,191.5,676.2754373843782,OVER 90 DAYS,OPEN
14,INV-00000014,INV-00000014,SO-00000017,2025-04-30,2025-05-15,CUST-00000275,Taylor PLC LLC,268.8,127.45,141.35000000000002,391.27543738437817,OVER 90 DAYS,PARTIAL
15,INV-00000015,INV-00000015,SO-00000018,2025-06-24,2025-07-24,CUST-00000697,Lane Inc Inc,95.56,95.56,0.0,0.0,PAID,PAID
16,INV-00000016,INV-00000016,SO-00000019,2025-06-07,2025-06-22,CUST-00000045,Chung-Stevens Ltd,27.39,27.39,0.0,0.0,PAID,PAID
17,INV-00000017,INV-00000017,SO-00000020,2023-10-02,2023-12-01,CUST-00000664,Gomez-Parrish Inc,451.7,143.23,308.47,922.2754373843782,OVER 90 DAYS,PARTIAL
18,INV-00000018,INV-00000018,SO-00000021,2024-07-16,2024-08-15,CUST-00000884,Andrade-Jackson Co,1226.58,1226.58,0.0,0.0,PAID,PAID
19,INV-00000019,INV-00000019,SO-00000022,2024-12-13,2025-01-12,CUST-00000994,"Huang, Khan and Davis Co",1553.61,572.75,980.8599999999999,514.2754373843782,OVER 90 DAYS,PARTIAL
20,INV-00000020,INV-00000020,SO-00000023,2025-01-11,2025-02-25,CUST-00000031,"Bernard, Warren and Combs Corp",227.3,227.3,0.0,0.0,PAID,PAID
21,INV-00000021,INV-00000021,SO-00000024,2025-06-26,2025-08-25,CUST-00000467,Bryant-Meyer Corp,441.6,441.6,0.0,0.0,PAID,PAID
22,INV-00000022,INV-00000022,SO-00000025,2023-12-14,2024-01-28,CUST-00000672,"Whitaker, Johnson and Williams Corp",198.75,0.0,198.75,864.2754373843782,OVER 90 DAYS,OVERDUE
23,INV-00000023,INV-00000023,SO-00000027,2023-12-28,2024-02-11,CUST-00000330,Conner-Yu Inc,36.7,24.99,11.710000000000004,850.2754373843782,OVER 90 DAYS,PARTIAL
24,INV-00000024,INV-00000024,SO-00000028,2023-07-24,2023-09-22,CUST-00000635,Joseph Ltd Ltd,959.7,959.7,0.0,0.0,PAID,PAID
25,INV-00000025,INV-00000025,SO-00000029,2024-07-15,2024-09-13,CUST-00000963,Acosta LLC Corp,87.48,49.49,37.99,635.2754373843782,OVER 90 DAYS,PARTIAL
26,INV-00000026,INV-00000026,SO-00000030,2024-01-19,2024-03-19,CUST-00000580,"Baker, Martin and Singleton Co",191.5,0.0,191.5,813.2754373843782,OVER 90 DAYS,OPEN
27,INV-00000027,INV-00000027,SO-00000031,2024-03-25,2024-05-24,CUST-00000080,Smith-Gutierrez Corp,24.89,24.89,0.0,0.0,PAID,PAID
28,INV-00000028,INV-00000028,SO-00000032,2024-10-30,2024-11-29,CUST-00000369,Marshall-Perez Co,54.56,0.0,54.56,558.2754373843782,OVER 90 DAYS,OPEN
29,INV-00000029,INV-00000029,SO-00000033,2024-01-08,2024-03-08,CUST-00000813,Harper-Robles Co,425.44,425.44,0.0,0.0,PAID,PAID
30,INV-00000030,INV-00000030,SO-00000034,2024-12-23,2025-01-07,CUST-00000071,Marquez Inc LLC,422.2,422.2,0.0,0.0,PAID,PAID
31,INV-00000031,INV-00000031,SO-00000035,2025-04-16,2025-05-31,CUST-00000636,Hill-Ward Inc,619.4,284.38,335.02,375.27543738437817,OVER 90 DAYS,PARTIAL
32,INV-00000032,INV-00000032,SO-00000036,2023-12-31,2024-01-30,CUST-00000780,Nunez-Freeman Inc,194.05,194.05,0.0,0.0,PAID,PAID
